ts,client_ip,delivery_service,protocol,url,edge_status,mid_status,edge_cache_name,edge_cache_hit,ttms_ms,upstream_bytes,user_agent
2026-01-20T16:00:00.433647156,228.51.35.116,live,http2,http://edge-usw2-sjc/live/asset206/seg-00781.ts,200,200,edge-usw2-sjc-01,HIT,86,36372,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:00.465865612,14.35.178.58,vod,http2,http://edge-use1-iad/vod/asset815/chunk_46.m4s,200,200,edge-use1-iad-04,HIT,127,36633,AndroidTV/11 ExoPlayerLib/2.18.1
2026-01-20T16:00:00.757583857,253.139.4.5,live,http1,http://edge-use1-iad/live/asset176/manifest.m3u8,200,200,edge-use1-iad-06,HIT,124,55976,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:01.192043066,103.64.63.241,live,http1,http://edge-usw2-sjc/live/asset215/manifest.m3u8,200,200,edge-usw2-sjc-10,HIT,161,40002,AndroidTV/11 ExoPlayerLib/2.18.1
2026-01-20T16:00:01.360542059,245.84.62.224,vod,http1,http://edge-use1-iad/vod/asset715/chunk_62.m4s,200,200,edge-use1-iad-01,HIT,148,40983,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:02.156630278,22.161.87.122,live,http2,http://edge-usw2-sjc/live/asset191/seg-00346.ts,200,200,edge-usw2-sjc-01,HIT,102,25243,AppleCoreMedia/1.0.0.20F75 (iPhone; U; CPU OS 16_6 like Mac OS X)
2026-01-20T16:00:02.331594229,87.229.140.129,vod,http2,http://edge-usw2-sjc/vod/asset770/chunk_75.m4s,200,200,edge-usw2-sjc-01,HIT,100,90252,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:02.342546701,44.180.198.249,vod,http2,http://edge-usw2-sjc/vod/asset774/chunk_116.m4s,200,200,edge-usw2-sjc-02,HIT,120,53448,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:02.453308821,13.129.160.156,live,http2,http://edge-use1-iad/live/asset200/seg-01620.ts,200,200,edge-use1-iad-09,MISS,62,41309,AndroidTV/11 ExoPlayerLib/2.18.1
2026-01-20T16:00:02.743014574,58.180.221.6,live,http1,http://edge-use1-iad/live/asset137/seg-01487.ts,206,200,edge-use1-iad-02,HIT,61,71592,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:02.945395708,226.194.166.220,live,http2,http://edge-use1-iad/live/asset105/seg-00428.ts,206,200,edge-use1-iad-02,HIT,201,56934,AndroidTV/11 ExoPlayerLib/2.18.1
2026-01-20T16:00:03.022356272,250.253.127.34,live,http2,http://edge-use1-iad/live/asset218/seg-00934.ts,200,200,edge-use1-iad-06,HIT,146,26035,AppleCoreMedia/1.0.0.20F75 (iPhone; U; CPU OS 16_6 like Mac OS X)
2026-01-20T16:00:03.739432335,214.11.189.224,vod,http2,http://edge-usw2-sjc/vod/asset800/chunk_95.m4s,200,200,edge-usw2-sjc-05,HIT,178,40013,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:03.833158493,166.201.34.7,vod,http2,http://edge-use1-iad/vod/asset818/chunk_67.m4s,200,200,edge-use1-iad-07,HIT,239,103965,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:04.361198664,27.59.62.230,vod,http2,http://edge-use1-iad/vod/asset814/chunk_11.m4s,200,200,edge-use1-iad-10,HIT,109,43906,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:04.479820251,247.230.49.31,live,http1,http://edge-usw2-sjc/live/asset193/seg-01249.ts,200,200,edge-usw2-sjc-01,HIT,154,80580,AppleCoreMedia/1.0.0.20F75 (iPhone; U; CPU OS 16_6 like Mac OS X)
2026-01-20T16:00:04.605923414,201.28.44.76,live,http2,http://edge-use1-iad/live/asset172/seg-02225.ts,200,200,edge-use1-iad-02,MISS,44,68228,AppleCoreMedia/1.0.0.20F75 (iPhone; U; CPU OS 16_6 like Mac OS X)
2026-01-20T16:00:05.157053709,147.198.53.5,live,http2,http://edge-usw2-sjc/live/asset149/seg-00483.ts,200,200,edge-usw2-sjc-03,HIT,138,67705,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
2026-01-20T16:00:05.264866114,190.184.82.216,vod,http2,http://edge-use1-iad/vod/asset788/manifest.mpd,200,200,edge-use1-iad-06,HIT,91,78825,AppleCoreMedia/1.0.0.20F75 (iPhone; U; CPU OS 16_6 like Mac OS X)
2026-01-20T16:00:05.640174866,85.225.58.201,live,http2,http://edge-usw2-sjc/live/asset144/seg-02080.ts,206,200,edge-usw2-sjc-08,HIT,68,75561,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:06.349376917,37.31.238.183,vod,http2,http://edge-use1-iad/vod/asset791/chunk_64.m4s,200,200,edge-use1-iad-04,HIT,190,75900,AndroidTV/11 ExoPlayerLib/2.18.1
2026-01-20T16:00:07.015392542,122.164.200.183,vod,http1,http://edge-use1-iad/vod/asset762/chunk_1.m4s,200,200,edge-use1-iad-07,HIT,115,28766,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:07.296308994,234.224.88.52,vod,http1,http://edge-usw2-sjc/vod/asset703/chunk_16.m4s,200,200,edge-usw2-sjc-02,HIT,117,32369,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:07.405766487,184.69.197.188,live,http2,http://edge-usw2-sjc/live/asset182/seg-01641.ts,200,200,edge-usw2-sjc-06,MISS,141,70659,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:07.696469307,204.55.165.188,live,http1,http://edge-use1-iad/live/asset193/seg-00819.ts,200,200,edge-use1-iad-03,HIT,122,24694,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:07.794246912,177.6.222.194,vod,http2,http://edge-use1-iad/vod/asset803/chunk_103.m4s,206,200,edge-use1-iad-08,MISS,128,6194,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:08.488597393,191.210.18.51,vod,http2,http://edge-usw2-sjc/vod/asset791/manifest.mpd,200,200,edge-usw2-sjc-01,HIT,240,95936,AppleCoreMedia/1.0.0.20F75 (iPhone; U; CPU OS 16_6 like Mac OS X)
2026-01-20T16:00:08.509293556,216.84.48.135,vod,http2,http://edge-usw2-sjc/vod/asset788/chunk_27.m4s,200,200,edge-usw2-sjc-06,HIT,139,93543,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 Chrome/120.0 Safari/537.36
2026-01-20T16:00:08.687041759,62.150.175.173,vod,http2,http://edge-usw2-sjc/vod/asset708/chunk_41.m4s,200,200,edge-usw2-sjc-07,HIT,162,23843,AndroidTV/11 ExoPlayerLib/2.18.1
2026-01-20T16:00:08.755627394,224.82.82.65,live,http1,http://edge-use1-iad/live/asset199/seg-01633.ts,200,200,edge-use1-iad-05,HIT,180,82191,"Roku/DVP-12.5 (Roku, 3810X, Wireless)"
